Word,Meaning
mean,"의미하다 a. 무례한"
even,"심지어 a. 평평한, 짝수의"
interest,"(남을) 흥미롭게하다 n. 흥미, 관심"
country,"나라, 지방 the country"
... (중략) ...
resident,"거주자 a. 거주하는"
